tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
212.00;-8382302#1_0;190.32;9.30;154.00;0.36;220267247#2_0;3.57;0.00;tripinfo_212;58.00;212;0;465.98;1.12;0.00;6.65;DEFAULT_VEHTYPE;;0;0.00
216.00;628782530_0;3.16;4.25;146.00;0.92;1174387992_0;3.66;0.00;tripinfo_189;70.00;189;0;698.83;0.91;0.00;11.51;DEFAULT_VEHTYPE;;0;0.00
217.00;8382393#0_0;78.47;8.03;99.00;0.08;413722453#0_0;5.10;0.00;tripinfo_136;118.00;136;0;1126.52;1.00;0.00;13.34;DEFAULT_VEHTYPE;;0;0.00
218.00;4392761#0_0;24.31;14.34;66.00;0.20;4726737_0;5.10;0.00;tripinfo_90;152.00;90;0;1481.12;1.23;0.00;22.27;DEFAULT_VEHTYPE;;0;0.00
222.00;-8140197#2_0;78.81;6.37;30.00;0.16;-220267247#5_0;5.10;0.00;tripinfo_22;192.00;22;0;1237.96;0.87;0.00;20.13;DEFAULT_VEHTYPE;;0;0.00
223.00;-4426075#1_0;235.07;8.44;51.00;0.52;36801001#1_0;5.10;0.00;tripinfo_59;172.00;59;0;1687.35;1.08;0.00;16.01;DEFAULT_VEHTYPE;;0;0.00
226.00;4426076#1_0;56.03;7.81;191.00;0.16;1263955158#1_0;5.10;0.00;tripinfo_247;35.00;247;0;234.61;1.05;0.00;6.87;DEFAULT_VEHTYPE;;0;0.00
228.00;4730633#0_0;63.51;6.71;40.00;0.84;-4760584#1_0;5.10;0.00;tripinfo_28;188.00;28;0;1294.36;0.93;0.00;20.60;DEFAULT_VEHTYPE;;0;0.00
230.00;-290174549#0_0;118.03;7.92;67.00;0.48;939752205#2_0;5.10;0.00;tripinfo_91;163.00;91;0;1499.06;0.96;0.00;16.68;DEFAULT_VEHTYPE;;0;0.00
230.00;117055115_0;0.20;6.57;155.00;0.20;4726706#6_0;5.10;0.00;tripinfo_190;75.00;190;0;504.58;0.92;0.00;8.18;DEFAULT_VEHTYPE;;0;0.00
231.00;4318242#0_0;79.80;9.55;78.00;0.24;-8382282#1_0;5.10;0.00;tripinfo_83;153.00;83;0;1290.92;1.16;0.00;17.02;DEFAULT_VEHTYPE;;0;0.00
232.00;150276015#0_0;157.00;7.32;44.00;0.84;-31411842#1_0;5.10;0.00;tripinfo_53;188.00;53;0;1314.71;1.01;0.00;20.91;DEFAULT_VEHTYPE;;0;0.00
235.00;14108392_0;0.20;12.62;37.00;0.12;-4730648#4_0;5.10;0.00;tripinfo_29;198.00;29;0;1860.86;1.00;0.00;37.68;DEFAULT_VEHTYPE;;2;9.00
237.00;399914536#0_0;56.06;6.54;39.00;0.60;-305670610_0;4.18;0.00;tripinfo_45;198.00;45;0;1674.87;1.07;0.00;41.79;DEFAULT_VEHTYPE;;1;16.00
238.00;8382385_0;19.45;7.75;25.00;0.28;-96018881#4_0;5.10;0.00;tripinfo_26;213.00;26;0;1227.12;1.00;0.00;92.05;DEFAULT_VEHTYPE;;4;65.00
239.00;150275988#0_0;78.05;9.04;93.00;0.68;175206107#0_0;5.10;0.00;tripinfo_106;146.00;106;0;1234.83;1.14;0.00;15.21;DEFAULT_VEHTYPE;;0;0.00
239.00;-36786445#2_0;3.14;7.30;104.00;0.92;1041085657#0_0;5.10;0.00;tripinfo_139;135.00;139;1;865.48;0.96;0.00;27.02;DEFAULT_VEHTYPE;;2;9.00
241.00;302657565#0_0;212.13;8.05;68.00;4.60;198077804#4_0;5.10;0.00;tripinfo_70;173.00;70;0;1470.31;0.98;0.00;20.44;DEFAULT_VEHTYPE;;0;0.00
242.00;-654207127#5_0;19.07;2.39;113.00;0.84;-220267106#1_0;5.10;0.00;tripinfo_128;129.00;128;0;458.07;1.05;0.00;25.43;DEFAULT_VEHTYPE;;0;0.00
244.00;117055114_0;44.95;6.94;99.00;0.72;4392761#0_0;5.10;0.00;tripinfo_124;145.00;124;0;1215.88;0.96;0.00;16.56;DEFAULT_VEHTYPE;;0;0.00
247.00;-13764389_0;0.72;3.75;190.00;0.00;396926516#0_0;4.69;0.00;tripinfo_250;57.00;250;0;415.75;1.03;0.00;7.71;DEFAULT_VEHTYPE;;0;0.00
248.00;40487883#0_0;75.23;7.57;39.00;0.56;-96018881#4_0;5.10;0.00;tripinfo_52;209.00;52;0;1996.74;1.04;0.00;46.88;DEFAULT_VEHTYPE;;2;9.00
249.00;150275986#5_0;48.71;8.54;38.00;0.88;5450860#1_0;5.10;0.00;tripinfo_46;211.00;46;0;1619.70;1.10;0.00;34.28;DEFAULT_VEHTYPE;;1;9.00
250.00;-290172304_0;100.09;8.46;22.00;0.64;-244422544#1_0;5.10;0.00;tripinfo_13;228.00;13;1;1754.68;1.05;0.00;28.11;DEFAULT_VEHTYPE;;0;0.00
250.00;-510702675#4_0;98.24;7.10;137.00;0.56;856293285#0_0;5.10;0.00;tripinfo_177;113.00;177;0;643.27;1.01;0.00;38.94;DEFAULT_VEHTYPE;;2;24.00
251.00;1198625656_0;56.87;7.67;63.00;0.72;-628762074#2_0;5.10;0.00;tripinfo_74;188.00;74;0;1127.34;1.07;0.00;60.04;DEFAULT_VEHTYPE;;2;31.00
251.00;-8382393#3_0;101.67;8.53;81.00;0.04;65583365#0_0;5.10;0.00;tripinfo_93;170.00;93;0;1426.92;1.11;0.00;17.72;DEFAULT_VEHTYPE;;0;0.00
253.00;4726684#0_0;33.91;8.62;100.00;0.96;628781006#1_0;5.10;0.00;tripinfo_132;153.00;132;0;1164.69;1.09;0.00;28.17;DEFAULT_VEHTYPE;;1;9.00
253.00;1041085657#0_0;121.90;8.06;143.00;0.84;8384928_0;5.10;0.00;tripinfo_178;110.00;178;0;718.69;0.97;0.00;19.32;DEFAULT_VEHTYPE;;1;4.00
