interval_begin;interval_end;interval_id;edge_arrived;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_left;edge_sampledSeconds
0.00;3600.00;0_to_3600;0;0;0;-377719665;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-396062730;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-396636211;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-396957783;0;0;0;0.00
0.00;3600.00;0_to_3600;2;5;81;-400062404;0;0;84;210.91
0.00;3600.00;0_to_3600;1;4;115;-400062405;0;0;118;938.12
0.00;3600.00;0_to_3600;0;0;0;-400587011;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-400587016#0;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-400587016#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-400603376#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-400961616;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-400961623;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-401041385#1;0;0;0;0.00
0.00;3600.00;0_to_3600;0;0;0;-403882372;0;0;0;0.00
0.00;3600.00;0_to_3600;3;1;94;-40493501#0;0;0;89;591.39
0.00;3600.00;0_to_3600;2;5;92;-40493501#1;0;0;94;797.39
0.00;3600.00;0_to_3600;4;4;92;-40493501#2;0;0;92;342.23
0.00;3600.00;0_to_3600;1;6;74;-40493501#3;0;0;77;1875.86
0.00;3600.00;0_to_3600;0;6;79;-40493501#4;0;0;85;640.39
0.00;3600.00;0_to_3600;9;8;35;-40493652;0;0;34;68.86
0.00;3600.00;0_to_3600;17;0;17;-40598675#2;0;0;0;214.49
0.00;3600.00;0_to_3600;3;3;31;-40598675#3;0;0;31;604.62
0.00;3600.00;0_to_3600;0;0;0;-409506868;0;0;0;0.00
0.00;3600.00;0_to_3600;3;5;140;-414404581#1;0;0;141;944.21
0.00;3600.00;0_to_3600;0;0;0;-430147229#1;0;0;0;0.00
0.00;3600.00;0_to_3600;3;4;54;-4312572#1;0;0;55;1570.02
0.00;3600.00;0_to_3600;5;5;32;-4312633;0;0;32;446.84
0.00;3600.00;0_to_3600;4;5;40;-4318228#2;0;0;41;1697.71
0.00;3600.00;0_to_3600;3;6;274;-4318237#2;0;0;277;4439.16
0.00;3600.00;0_to_3600;0;14;9;-4318239#1;0;0;23;612.28
